index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Chattooga,Coldwater,248,17,72,25,0,114,15,33,16,0,64,178,
1,Chattooga,Dirtseller,186,34,48,9,0,91,14,20,0,0,34,125,
2,Chattooga,Haywood,169,55,14,7,1,77,21,8,1,0,30,107,
3,Chattooga,Lyerly,934,187,229,52,1,469,52,68,20,0,140,609,
4,Chattooga,Trion,3496,453,914,275,0,1642,157,327,100,1,585,2227,
5,Chattooga,Summerville,5155,458,1410,441,1,2310,190,527,215,1,933,3243,
6,Chattooga,Teloga,593,57,177,67,0,301,26,76,15,0,117,418,
7,Chattooga,Dirttown,897,185,214,74,0,473,74,73,35,0,182,655,
8,Chattooga,Seminole,138,22,29,14,0,65,14,16,5,0,35,100,
9,Chattooga,Subligna,489,120,85,45,1,251,48,39,16,0,103,354,
10,Chattooga,Alpine,872,197,168,70,0,435,80,67,26,0,173,608,
11,Chattooga,Cloudland,378,60,100,37,0,197,25,37,19,0,81,278,
12,Chattooga,Pennville,588,58,147,36,0,241,14,58,10,0,82,323,
