County,Precinct,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
Dougherty,Palmyra Methodist,2761,302,293,181,4,780,206,272,210,6,694,24,13,9,0,46,1520,
Dougherty,Sherwood Elementary,3205,245,258,181,0,684,349,506,299,1,1155,34,12,7,0,53,1892,
Dougherty,Covenant Church,2334,307,205,131,0,643,240,281,203,2,726,14,7,3,0,24,1393,
Dougherty,Greenbriar Church,3885,392,662,337,4,1395,244,642,534,4,1424,14,23,7,0,44,2863,
Dougherty,Westover High School,3394,296,429,260,0,985,314,664,391,0,1369,22,16,8,0,46,2400,
Dougherty,Merry Acres Middle,2432,315,324,177,3,819,204,287,220,8,719,12,17,11,0,40,1578,
Dougherty,Darton College,4289,125,244,124,3,496,457,908,594,6,1965,16,15,9,0,40,2501,
Dougherty,Westtown Elementary,3265,40,34,34,0,108,469,596,649,0,1714,17,8,5,1,31,1853,
Dougherty,2nd Mt Zion Church,1465,248,166,106,1,521,127,140,163,2,432,9,1,1,0,11,964,
Dougherty,Mt Zion Center,3638,26,13,17,0,56,519,532,602,2,1655,17,10,8,0,35,1746,
Dougherty,Alice Coachman Elementary,750,6,2,4,0,12,119,160,204,0,483,4,3,2,0,9,504,
Dougherty,Carver Teen Center,1667,9,3,5,0,17,218,148,232,3,601,7,1,3,0,11,629,
Dougherty,Shiloh Baptist Church,1510,17,17,9,0,43,236,168,212,0,616,8,1,3,0,12,671,
Dougherty,Litman Cathedral,1486,21,13,7,1,42,223,177,191,19,610,5,5,5,3,18,670,
Dougherty,Phoebe Healthworks,1574,72,30,26,0,128,148,143,170,1,462,11,5,6,0,22,612,
Dougherty,Turner Elementary,1205,7,5,7,0,19,108,67,62,5,242,3,3,1,0,7,268,
Dougherty,Jackson Heights Elementary,2549,10,7,9,0,26,371,307,357,0,1035,16,4,5,0,25,1086,
Dougherty,Bill Miller Center,2404,46,33,27,1,107,313,361,272,4,950,13,5,2,0,20,1077,
Dougherty,Radium Middle School,693,61,28,34,0,123,85,110,70,0,265,7,2,1,0,10,398,
Dougherty,Putney 1st Baptist Church,2819,475,212,125,1,813,246,319,297,0,862,14,11,13,0,38,1713,
Dougherty,International Studies,1042,80,62,32,0,174,100,182,179,1,462,3,0,3,0,6,642,
Dougherty,Phoebe East,2965,83,44,54,1,182,445,365,345,3,1158,12,14,5,0,31,1371,
Dougherty,Pine Bluff Baptist Church,2221,198,119,111,0,428,258,293,290,0,841,11,13,5,0,29,1298,
Dougherty,Albany Middle School,1963,32,20,17,0,69,312,249,246,4,811,12,4,1,0,17,897,
Dougherty,Christ Church,1879,433,300,181,0,914,97,243,202,1,543,6,4,4,0,14,1471,
Dougherty,Lamar Reese Elementary,1098,20,11,9,1,41,160,188,248,5,601,6,4,6,0,16,658,
Dougherty,1st Christian Church,1505,217,220,150,0,587,144,179,124,1,448,11,7,3,0,21,1056,
Dougherty,Lovett Hall,1174,14,4,1,0,19,177,155,34,1,367,6,6,0,0,12,398,
