County,Precinct,Registered Voters,Tom Odom (I) (Rep)_Election Day Votes,Tom Odom (I) (Rep)_Advanced Voting Votes,Tom Odom (I) (Rep)_Absentee by Mail Votes,Tom Odom (I) (Rep)_Provisional Votes,Tom Odom (I) (Rep)_Choice Total,Total,
Oconee,City Hall,3910,333,1766,499,0,2598,2598,
Oconee,Colham Ferry,1847,205,899,241,0,1345,1345,
Oconee,Antioch,1397,240,588,171,0,999,999,
Oconee,Farmington,737,157,276,81,0,514,514,
Oconee,Bishop,1938,235,889,228,2,1354,1354,
Oconee,High Shoals,1939,230,997,219,0,1446,1446,
Oconee,North Oconee,1244,182,601,165,0,948,948,
Oconee,Dark Corner,3541,465,1803,421,1,2690,2690,
Oconee,Bogart,2384,351,981,310,0,1642,1642,
Oconee,Marswood Hall,4091,312,1851,792,1,2956,2956,
Oconee,East Oconee,2647,161,1176,371,0,1708,1708,
Oconee,Civic Center,4396,322,2055,698,0,3075,3075,
