County,Precinct,Registered Voters,Don Shiver (I) (Rep)_Election Day Votes,Don Shiver (I) (Rep)_Advanced Voting Votes,Don Shiver (I) (Rep)_Absentee by Mail Votes,Don Shiver (I) (Rep)_Provisional Votes,Don Shiver (I) (Rep)_Choice Total,Total,
Thomas,Barwick,630,139,235,57,0,431,431,
Thomas,Boston,1632,228,481,153,0,862,862,
Thomas,Central,3523,248,1552,336,1,2137,2137,
Thomas,Coolidge,983,233,301,71,0,605,605,
Thomas,Douglass,2448,186,566,168,0,920,920,
Thomas,LIttle Ochlocknee Baptist Church1132,223,509,93,0,825,825,,
Thomas,Fire Station #2,1404,143,653,185,0,981,981,
Thomas,Gatlin Creek,2069,244,933,204,0,1381,1381,
Thomas,Harper,2001,126,492,178,0,796,796,
Thomas,Jerger,1898,135,835,257,0,1227,1227,
Thomas,Meigs,864,194,191,69,1,455,455,
Thomas,Metcalfe,299,87,84,27,0,198,198,
Thomas,New Covenant,2155,252,960,203,0,1415,1415,
Thomas,Ochlocknee,1175,291,392,57,0,740,740,
Thomas,Pavo,673,195,193,56,0,444,444,
Thomas,Remington Esc,2190,202,857,250,0,1309,1309,
Thomas,Resource Center,1363,100,250,155,0,505,505,
Thomas,Scott,2491,170,1138,263,1,1572,1572,
Thomas,Merrillville,701,68,301,51,0,420,420,
Thomas,Patten,397,91,164,25,0,280,280,
